별점(평점),리뷰내용,작성일자,공감횟수,비공감횟수
10,일단 진선규님 진짜 연기를 다양하게 잘하셔서 놀랐어요 오랜만에 부담없이 진짜 코미디 영화를 본거 같아서 즐거웠어요 조조로 할인받고 봤는데 반값이라 더 재밌어요 밤새다 할거없이 봤는데 최고~~,2019.01.23 11:45,10711,1036
10,진짜 뻥안치고 ㅈㄴ 웃겼다,2019.01.23 12:47,9129,1307
10,"계속 웃으면서 봤어요!""지금까지 이런맛은 없었다이것은 갈비인가 통닭인가수원왕갈비통닭입니다.""이 대사가 귓가에 계속 맴도네요 ㅎㅎ",2019.01.23 14:48,7347,755
10,지금까지 이런 영화는 없었다  이것은 영화인가 통닭광고인가,2019.01.23 20:16,7010,640
10,간만에 정치색 안띠고 마냥 한국식으로 웃긴 영화다~류승룡도 완전 찰지고ㅋ흥해라,2019.01.23 14:47,6129,644
10,류승룡 좀비설 너무 웃겼어여,2019.01.23 17:32,4591,427
10,마약반 형사들 각각 캐릭터가 확실했습니다. 겹치는 점도 없었고 조합도 너무 좋았습니다. 악역분들도 그 표정들하며 사투리와 찰진 욕설들.. 기억속에 남습니다. 웃으면서 행복했던 감정이 기억에 남습니다. 시사회로 봤지만...,2019.01.23 09:26,4521,523
10,완전 내스타일.. 류승룡 영화 요즘 말아먹더니 이번엔 대박 웃기네 ㅋㅋ역시 갓승룡,2019.01.23 12:48,4009,521
10,조조로 보고 출근중입니다. 저는 정말 미친듯이 웃었고.감동도조금 있었습니다.극한직업2 제작해주떼엽,2019.01.23 11:42,3156,511
10,류승룡: 여보 왜씻어....?,2019.01.23 20:53,2852,250
10,ㅎㅎㅎㅎ 2시간 내내 웃기다.신파도 없고 재밌다.한번더 보러 가야겠다,2019.01.23 13:22,2420,347
10,진선규ㅋㅋㅋ나보다 못생겼단말이 얼마나 상처받던지,2019.01.23 21:01,2177,222
10,올해 가장 재미있었다 아직까진,2019.01.23 13:02,2310,361
10,마지막에 공명 안아파~ 너무 웃겨,2019.01.23 14:15,1859,219
10,치킨으로 이렇게 웃기기 있기 없기?,2019.01.23 11:43,1672,326
10,ㅠㅠ진짜웃곀ㅋㅋㅋ 또볼꺼야ㅠㅠㅠ,2019.01.23 12:48,1581,300
10,진짜 개재밌음 꼭 보삼 류승룡씨는 오랜만에 흥행성공 하시겠네,2019.01.23 13:13,1298,234
10,감히 천만 예상 해 봅니다같은 생각 따봉ㄱㄱ,2019.01.23 22:27,1283,237
10,염력보고 충격받아서 류승룡 이번 영화 괜찮을까 망설였는데 ㅋㅋㅋ처음부터 끝까지 너무 웃김 ㅋㅋㅋㅋ영화관에서 다들 깔깔깔웃던데 ㅋㅋ스토리도 나름 탄탄함 ㅋㅋㅋ,2019.01.23 15:14,1121,205
10,"큰 기대없이, 별 생각없이 봤는데 많이웃었어요. 재밌게 봤습니다~편하게 보기 좋은영화~",2019.01.23 11:40,1077,224
10,중간에 엇나가지 않아서 끝까지 유쾌하고 재밌게 봤어요:):),2019.01.23 14:45,857,183
10,진짜 개꿀잼 시사회 두번갔다왔는데 오늘 아침부터 또 보러 갔다옴 3번봤는데 그냥 재밌음 내인생 영화임 배우들 케미 개쩔고 마약반 정말 잘어울림 연기 너무 잘함 처음부터 끝까지 재미있음 신하균 오정세도 따로 또 재밌고...,2019.01.23 12:14,871,244
10,극한직업 덕분에 많이 웃었네요ㅎㅎ 좋은 영화 감사합니다ㅎㅎ,2019.01.23 12:32,688,191
10,대놓고 약빤 감독이 대놓고 약빤 배우들 데리고 만든 극락의 히로뽕 같은 영화ㅎㅎ걍 웃다가 웃다가 웃다가 웃다가 끝난다ㅎㅎㅎㅎ코믹 영화로 스트레스를 풀수도 있다는 걸 34년만에 깨달은 하루ㅋㅋㅋ,2019.01.24 12:51,613,147
10,진선규배우님의 연기 짱!,2019.01.23 18:14,555,107
10,생각보다 너무 재미있었습니다 진선규님 코믹연기도 너무 잘하셔서 놀랐네요,2019.01.23 14:11,569,126
10,살다살다 감상평은 처음남긴다. 내 한국영화중 역대급이었음. 끅끅거리면서 웃어서 나갈때 배가 너무 아픈거 빼고 다 좋았음.,2019.01.23 22:16,596,210
10,개꿀잼이야 진짜 ㅠㅠ 꼭보세요 다들,2019.01.23 11:55,542,195
10,진선균님의 하드케리라 봅니당 배역 잘 맡으신둣,2019.01.23 15:16,398,102
10,이거 진짜 개웃김ㅋㅋㅋ 미쳤나봐 진짴ㅋㅋㅋ,2019.01.23 14:19,440,145
10,가게서 일해서 그런지 완전 공감감  신하균은 그와중에 잘생기고 공명 마지막에 진짜 울면서 봣어요 너무 귀여운데 미쳐 ㅠ 웃겨서 울면서 보긴 처음이네 2나오면 좋겠다 진짜 제발 12시 넘어서 봣는데 졸리지도 않음 음료...,2019.01.24 01:34,396,116
10,진짜 공명 미쳤어요 너무 웃기고 귀여워요,2019.01.24 21:27,368,107
10,안아파~안아파~  젤 웃겨 ㅋㅋ,2019.01.25 00:39,337,90
10,2시간동안 웃고나왔다,2019.01.23 15:55,377,133
10,"“지금까지 이런 맛은 없었다 갈비인가 통닭인가 수원왕갈비통닭”믿고 보세여..진짜 별?처음부터 끝까지 재미있고 웃겼던 영화연출도,연기자 분들도 다 완벽했던거같다",2019.01.23 21:58,314,111
10,기대 별로 안 하고 봤는데 연기도 연출도 좋았어요. B급 정서 물씬~ 계속 웃으며 봤어요. 억지 신파도 없고.,2019.01.23 16:03,240,82
10,너나좋아하냐? 부터 빵빵터짐ㅋㅋㅋㅋ,2019.01.23 21:58,250,95
10,꿀잼 안 보면 손해예요 짱,2019.01.23 13:08,295,147
10,말이 필요없다 꼭보셈 강추,2019.01.23 13:02,260,122
10,모든영화가 주제가 없으면 문제다. 근데 모든 영화에 주제가 있을필요도 없다. 그냥 이런 재미만 추구해도 좋지롱,2019.01.23 16:02,201,78
10,캐릭터 다 너무 귀여웠고 엄텅 재밋엇숩니다!!,2019.01.23 13:11,208,86
10,진짜 장르 애매하게 가다 어중이떠중이 되는 경찰물들 많은데 이건 정말 첨부터 끝까지 조오오오오온나 웃깁니다,2019.01.24 15:18,198,86
10,꿀언늬 욕 겁나 찰져요 ㅋㅋㅋㅋ마지막에 공명 약빨고 액션 개웃김 ㅋㅋㅋㅋ,2019.01.24 17:09,186,78
10,"간만에 극장에서 웃으면서 본 영화입니다! 현실성은 조금 떨어지지만, 코미디 영화답게 웃기는데는 최고였어요후반부 액션씬도 좋았습니다. 인생 캐릭터를 만난 공명 배우님과 코미디 영화에서 의외의 발견을 할 수 있던 진선규...",2019.01.24 17:06,172,78
10,진짜 신파극도 안나오고  개 웃겨요 ㅜㅜ,2019.01.23 13:35,174,86
10,올해 한국영화 나올때마다 이 영화랑 비교당할 듯 진짜 대박 ㅠㅠ 감독님 작가분이랑 평생 함께하세요,2019.01.23 12:55,202,114
10,웃고 싶을때마다 보는데 매번 웃기는 최애 영화.,2021.09.04 12:22,99,13
10,개꿀잼  쏴버려에서 개터짐,2019.01.24 17:13,157,73
10,지금까지 이런 영화는 없었다. 이 영화는 예고편이 다인 영화인가? 아닌 영화인가? 솔직히 예고편이 재미를 오히려 떨어트리는건 사실이지만 마약반 5인 케릭터가 겹치지도 않고 케미가 좋았다. 8점대 영화인데 1점대 테러...,2019.01.24 05:39,163,80
10,진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규 진선규,2019.01.23 21:23,131,55
10,대박나서 치킨광고 찍자!,2019.01.23 17:33,131,59
10,"맘껏 웃었어요~~이하늬배우 넘 찰지게 욕 잘함, 진선규배우!!!! 연기갑!!!",2019.01.23 21:44,138,70
10,간만에 꿀영화ㅠㅠㅠ 넘 재밌는거,2019.01.23 12:29,129,67
10,기분이 우울해서 보러갔는데 우울한기분이 싹 날아갈정도로 웃으며 봤습니다. 너무 웃겨요~~ㅋㅋ 공명 귀여워,2019.01.25 16:06,109,49
10,진짜 웃김 계속 웃었음 말 한마디한마디가 웃기고  약간 전개를 좀 끄는 느낌도 받음 그래도 재밌음,2019.01.23 20:17,118,59
10,진짜 너무하네요 ..영화가 너무뻔하고 영화관에 영화소리보다 사람들 웃음소리로 꽉차서 보는데 집중이안됫어요 ..그래서 저는 더크게 웃었어요 겁나재밌네요,2019.01.23 20:43,116,59
10,첨부터 끝까지 웃음밖에 없는 영화 ㅋ 대박 졸잼,2019.01.23 14:40,117,67
10,아무생각 없이 보면 급터지는 영화여요! 시사회때 보고 주변에 여기저기 입소문 퍼트리는 중이에요! 입소문으로 흥해라!! 공명이라는 분은 처음보는데 왜이렇게 귀엽게 연기잘함?ㅋ,2019.01.23 14:28,107,61
10,너무재밌고 쉬지않고 웃었습니다 강추드립니다,2019.01.23 21:59,92,47
10,다섯번은넘게본듯배우들너무찰지게웃겨요,2020.09.22 20:38,46,15
10,안 아파~ 안 아파~ 웃다가 숨넘어갈뻔,2019.01.25 06:43,54,24
10,믿고보는 류승룡   언발란스한  캐미?를  보여준  이하늬와  진선규   선비같은  생김과는 다른   맹한  캐릭을 보여준  연기변신의 귀재  공명!!이동휘는   음    투덜이   캐릭이 제일 잘어울리는 하지...,2019.01.31 20:24,38,11
10,줄거리 보고 기대했는데 기대만큼 재밌네요 특별한 내용이 있거나하진않지만 오랜만에 재밌는 영화본거같아서 돈이 아깝지 않네요,2019.01.23 21:21,32,6
10,그냥 엄청 웃김 영화관에서 다 같이 웃기 좋은영화,2019.01.25 01:25,36,10
10,진짜 재밌어요 배우님들 케미 최고구요 그 막내형사역할 누군가요  마지막에 마약 잘못먹고 마약에 취한 연기 너무 귀엽구 잘했어요!!!,2019.01.24 17:04,68,42
10,오랜만에 웃으면서봤네요,2019.01.23 12:59,68,42
10,다들 연기를 잘해서 연기 구멍이 없고 재밌었다 내용은 좀 뻔하게 끝나지만 그래도 나중에 다 때려잡는거 속은 시원했다 군데군데 대사들이 겁나 웃겼음,2019.01.25 01:47,35,10
10,정말 재미있어요..후기 평점 잘 안남기는데!! 요즘같이 팍팍한 세상살이극한직업같은 코미디영화가 많이 나왔으면 좋겠네요~!,2019.01.23 21:33,36,11
10,을 2시간동안 웃게해주는 영화. 더이상 뭐가필요하죠?,2019.09.16 01:23,44,19
10,마약반팀원들 모두가 어디 모자란 것없이 연기를 너무 잘 하셔서 너무 재미있게봤어요ㅋㅋ순간순간 모든 포인트들이 다 재미있어서 웃음이 끊이지 않았어요.,2019.01.31 18:55,29,5
10,지금까지이런영화는없었다,2019.08.14 02:27,38,14
10,생각없이 계속 웃을 수 있는 영화공명 귀여워요♡♡,2019.01.24 16:34,63,39
10,진짜 웃겨욬ㅋㅋ기대 하나도 안하고 봤는데 존잼ㅠㅠㅠ,2019.01.23 21:54,30,7
10,분위기 안흐리고 끝까지 이어가는 코미디가 좋았습니다 재밌게 잘봤어요!!,2019.01.23 21:57,40,17
10,지금까지 이런 코메디는 없었다 이게 영화인가 개그프로인가... ㄹㅇ 개콘보다 몇배는 웃김 영화보는내내 너무 웃으면서봤음ㅋㅋ최고!!,2019.01.23 23:12,71,48
10,안아프다 안아프다 인아프다 ㅋㅋㅋ,2019.01.25 02:19,48,26
10,진짜 이건 무조건 봐야해요 ㅎㅎ 설날에 나왔으면 더 대박 쳤을텐데,2019.01.23 14:17,53,32
10,5분에 한번씩 웃엇닼ㅋㅋㅋㅋ,2019.01.24 18:54,56,35
10,그냥봐ㅋㅋㅋ 시작부터 끝날때까지 졸잼이다 ㅋㅋㅋㅋ,2019.01.23 22:15,67,46
10,진선규님이 완성하심 공명 배우 졸귀탱또 보고싶다.,2019.01.31 20:57,36,16
10,순간순간 정말 웃기고 다양한 개그들이 많아서 좋았습니다^^그리고 마지막엔 통쾌했습니다~,2019.01.23 12:47,41,21
10,어제 봤음 ㅋㅋ 예고가 다가 아니더라 ㅋㅋㅋ,2019.01.24 17:05,42,22
10,아 예고편 보고 그냥 생각없이 봤는데 더한게 나옴 ㅋㅋ 오랜만에 웃다가 울면서 나왔다,2019.01.23 22:16,42,22
10,졸라 잼있습니다. 병맛화이팅!!,2019.01.23 15:52,44,24
10,배우 5분 모두 빠지는 분 없이 캐릭터 있고 연기도 진심 갑..시작하고 끝날때까지 웃은영화는 처음인듯,2019.01.31 18:23,23,4
10,다이어트중인 분들은 보지마세요. 치킨 먹고싶어지니까. 나는 그러므로 오늘 다이어트 4일째 치킨을 시킨다.,2019.01.24 17:25,25,6
10,유쾌하다!!! 요새 웃을일 없다싶으면 보자! 꼭 보자! 억지웃음없어서 좋았고 쓸데없는 신파마무리 없어서 더 좋았다. 구멍없이 마약반 캐릭터들 다 너무 매력있음!!! 깔끔! 유쾌!,2019.01.24 00:25,27,8
10,대본도 좋았고 모든 배우들도 맛있게 연기하더라 구멍이없었닼ㅋㅋㅋ진선규 이하늬 공명 배우 조합 좋았다,2019.01.30 23:56,30,11
10,극한직업 재밌어요!!!다들 보세요 공명 개귀여움ㅜ,2019.01.31 14:31,31,12
10,진짜 재밌었어요 웃기기도 하고 못생겼다고 한놈만 팬닼ㅋㅋㅋ,2019.08.17 21:13,32,13
10,간만에 머리 비우고 웃으면서 봤네요코미디 영화 좋아하시면 재밌게 보실 수 있습니다,2019.01.23 16:38,48,29
10,승룡이형 믿고보는 영화하늬누나 짱 멋있게 나오고선균이형은 얼굴보고 웃게되고공명이형 강아지 연기?ㅋㅋㅋ 웃겼어요결론은 10점만점짜리 영화,2019.01.26 21:54,49,30
10,처음부터 넘 웃겼는데 끝까지 웃기고 재밌었어요!! 공명님도 너무 귀엽고 ㅠ 영화 흥행했으면 좋겠어요 ㅋㅋㅋ,2019.01.24 19:01,52,33
10,보는내내 웃겨 죽을뻔 했다 이것은 치킨인가 갈비인가 ㅋㅋㅋ 앜,2019.01.25 01:30,25,7
10,시나리오 진짜 기막히게 써서 2재밌게 나왔으면좋겠다 !다시봐도 재밌어!ㅋㅋㅋ,2020.01.20 22:54,35,17
10,너무보는내내 기분이좋구 행복해지는 영화에요!,2019.01.26 01:04,21,4
10,재미있음ㅋㅋ시간순삭임,2019.01.24 01:31,25,8
10,대박! ㅋㅋ웃으면서 시작해서 웃다가 끝남!예고편보고 기대만빵 그게다인가 걱정했는데 예고편은 아뭇거도아님 ㅋㅋ 또보고싶단 생각잘안하는데 이번영화 또보고싶네! 캐릭터 확실하고 자기옷입은듯한 배우들의연기 정말 코믹액션제대...,2019.01.23 21:18,25,8
10,ㅋㅋㅋ 막내형사 마지막에 빵터짐,2019.01.27 14:41,26,9
10,공명보러 간건데 넘 재밌었움!!,2019.01.25 13:28,27,10
10,빠지는캐릭터가하나도없는 영화 재미있게잘보고 오랜만에 스트레스풀고왔어요 진선규님 공명님도 진짜 코미디가 일케어울릴줄이야,2019.01.27 14:30,31,14
10,진짜 걍 관객들 다같이 엄청 웃었다. 장르가 코미디인만큼 웃길거면 제대로 웃겨야 하는데 이 영화는 진짜 제대로 웃겨. 스토리도 나름 코미디치고 괜찮은? 연기도 탄탄하고. 오랜만에 이런 코미디 영화 보는 것 같다,2019.01.24 17:05,31,14
10,완전재미있음 ㅋ 강추합니다,2019.01.23 18:34,31,14
10,지금까지  이런  재미는 없었다이것은  천만인가 이천만인가,2019.01.23 23:10,38,21
10,공명한마디면  끝인영화,2019.01.27 09:48,41,24
