신청날짜,사업장,품목코드,품목,수량,단가,금액
2019-08-23,석수,MF4-215,ANGLE,21,32000 ,672000 
2019-09-09,석수,MF8-547,백관,44,56000 ,2464000 
2019-06-18,석수,MF1-966,절연판,40,45000 ,1800000 
2019-03-13,석수,MF6-543,P/Z O-RING,11,38000 ,418000 
2019-05-11,석수,MF2-887,알코올,38,8000 ,304000 
2019-06-28,석수,MF3-559,실리콘,30,150000 ,4500000 
2019-02-16,석수,MF6-529,소모품,4,2200 ,8800 
2019-10-22,석수,MF6-104,MOTOR,14,30000 ,420000 
2019-03-18,석수,MF6-219,PAPER BRSH,13,40000 ,520000 
2019-07-17,석수,MF2-810,불화카리,23,83000 ,1909000 
2019-07-23,석수,MF2-205,마크펜,33,3000 ,99000 
2019-03-20,석수,MF6-710,NUT,20,15000 ,300000 
2019-01-27,석수,MF1-544,윤활유,30,2000000 ,60000000 
2019-07-11,석수,MF1-086,소모품,50,2200 ,110000 
2019-05-16,석수,MF1-462,BITE,14,86000 ,1204000 
2019-09-26,석수,MF5-494,방진마스크,24,7000 ,168000 
2019-05-09,석수,MF6-528,불화카리,1,83000 ,83000 
2019-01-23,석수,MF1-205,PLUG,25,3000 ,75000 
2019-04-02,석수,MF6-890,FLEXIBLE(전선관),12,57000 ,684000 
2019-12-28,석수,MF9-620,안전장비E,3,50000 ,150000 
2019-01-07,석수,MF6-185,AL TAPE,34,15000 ,510000 
2019-12-15,석수,MF4-431,청소용구B,4,22000 ,88000 
2019-12-18,석수,MF4-144,LPG가스,5,210000 ,1050000 
2019-10-16,석수,MF2-204,건전지,2,2400 ,4800 
2019-07-15,석수,MF8-264,안전장비C,35,30000 ,1050000 
2019-09-09,석수,MF4-097,화장지,50,4700 ,235000 
2019-08-27,석수,MF9-697,커터기,2,7000 ,14000 
2019-09-23,석수,MF4-722,스폰지,43,55000 ,2365000 
2019-08-26,석수,MF2-690,소모품,10,2200 ,22000 
2019-01-11,석수,MF9-292,일반사무용품류,2,2100 ,4200 
2019-12-28,석수,MF7-823,파일/바인더류,18,2500 ,45000 
2019-10-17,석수,MF9-831,BITE,17,86000 ,1462000 
2019-02-04,석수,MF2-265,면장갑(10set),4,8000 ,32000 
2019-05-26,석수,MF3-685,알코올,32,8000 ,256000 
2019-11-27,석수,MF3-477,LIMIT SWITCH,31,74000 ,2294000 
2019-05-08,석수,MF9-439,작업용장갑,9,4000 ,36000 
2019-12-30,석수,MF2-820,안전장비,23,290000 ,6670000 
2019-03-30,석수,MF1-214,S45C(판재),32,200000 ,6400000 
2019-12-30,석수,MF4-455,BUTTOM DIE,12,42000 ,504000 
2019-02-17,석수,MF1-706,ONE-TOUCH FITTING,5,59000 ,295000 
2019-02-03,석수,MF2-343,BALL VALVE,11,25000 ,275000 
2019-06-29,석수,MF9-935,안전장비A,45,76800 ,3456000 
2019-10-23,석수,MF4-428,청소용구B,25,22000 ,550000 
2019-03-10,석수,MF4-159,안전장비C,10,30000 ,300000 
2019-12-20,석수,MF3-525,AIR COUPLER,20,30000 ,600000 
2019-08-25,석수,MF4-278,PIPE PACKING PARTS,37,2300000 ,85100000 
2019-02-01,석수,MF4-851,LINE TAPE,11,30000 ,330000 
2019-03-01,석수,MF7-112,강관조관유,4,330000 ,1320000 
2019-07-24,석수,MF9-159,LIGHING LAMP,21,33000 ,693000 
2019-07-22,석수,MF2-857,액체질소,34,2000 ,68000 
2019-02-24,석수,MF1-167,의료품,28,2500000 ,70000000 
2019-12-02,석수,MF8-066,일반사무용품류,10,2100 ,21000 
2019-01-03,석수,MF5-936,안전장비B,36,25000 ,900000 
2019-07-24,석수,MF8-325,GUIDE POST,43,340000 ,14620000 
2019-12-08,석수,MF9-640,목재,8,6700 ,53600 
2019-11-11,석수,MF8-696,MICRO METER,32,120000 ,3840000 
2019-08-25,석수,MF7-679,DRILL,43,15000 ,645000 
2019-05-13,석수,MF4-347,줄자,15,5000 ,75000 
2019-03-02,석수,MF8-194,절연판,20,45000 ,900000 
2019-08-14,석수,MF5-633,면장갑(10set),20,8000 ,160000 
2019-09-17,석수,MF6-321,작업복B,32,33000 ,1056000 
2019-06-27,석수,MF2-885,GAUGE,23,15000 ,345000 
2019-12-15,석수,MF6-610,황사마스크,29,8000 ,232000 
2019-03-18,석수,MF6-925,알코올,34,8000 ,272000 
2019-08-22,석수,MF4-172,ELECTRIC TOOL,10,16000 ,160000 
2019-08-30,석수,MF3-234,PLUG,39,3000 ,117000 
2019-09-24,석수,MF1-190,AIR COUPLER,47,30000 ,1410000 
2019-12-01,석수,MF4-815,LIMIT SWITCH,15,74000 ,1110000 
2019-06-17,석수,MF7-450,경유,38,80000 ,3040000 
2019-07-28,석수,MF4-810,청소용구,36,8000 ,288000 
2019-07-23,석수,MF7-024,DIAL GAUGE,34,130000 ,4420000 
2019-12-09,석수,MF8-076,DRILL,35,15000 ,525000 
2019-12-16,석수,MF3-825,액체알곤,43,9000 ,387000 
2019-03-04,석수,MF1-640,MOLD SPRING,8,30000 ,240000 
2019-08-08,석수,MF1-092,일반사무용품류,38,2100 ,79800 
2019-11-10,석수,MF7-885,P/Z O-RING,4,38000 ,152000 
2019-11-11,석수,MF4-338,PHOTO SENSOR,26,600000 ,15600000 
2019-10-21,석수,MF9-971,니쁠,36,5000 ,180000 
2019-03-17,석수,MF5-200,종이컵,16,6000 ,96000 
2019-07-11,석수,MF6-239,PACKING PARTS,41,260000 ,10660000 
2019-12-29,석수,MF6-838,GUIDE POST,31,340000 ,10540000 
2019-05-10,석수,MF3-647,ONE-TOUCH FITTING,45,59000 ,2655000 
2019-03-15,석수,MF6-166,BOLT,20,3000 ,60000 
2019-08-30,석수,MF6-361,안전장비B,14,25000 ,350000 
2019-06-06,석수,MF8-163,배관자재,11,3000 ,33000 
2019-08-19,석수,MF7-508,GRIND STONE,40,240000 ,9600000 
2019-07-21,석수,MF3-795,불화카리,1,83000 ,83000 
2019-11-15,석수,MF7-182,스폰지,43,55000 ,2365000 
2019-12-10,석수,MF5-183,일반마스크,16,6000 ,96000 
2019-01-07,석수,MF8-085,면장갑,13,800 ,10400 
2019-04-21,석수,MF3-802,RECEPTACLE,22,10000 ,220000 
2019-06-30,석수,MF3-365,붕산,35,7000 ,245000 
2019-02-26,석수,MF6-209,강관방청유(외측),43,860000 ,36980000 
2019-04-07,석수,MF7-337,붓,35,3000 ,105000 
2019-07-12,석수,MF1-605,작업용장갑,27,4000 ,108000 
2019-08-06,석수,MF2-974,철직자,27,1000 ,27000 
2019-11-19,석수,MF9-464,C2H2(아세틸렌),28,14000 ,392000 
2019-03-13,석수,MF2-842,COUNTER DRILL,43,170000 ,7310000 
2019-10-15,석수,MF9-145,면장갑(10set),39,8000 ,312000 
2019-04-28,석수,MF9-485,P/Z O-RING,35,38000 ,1330000 
2019-12-22,석수,MF8-859,구리스,5,330000 ,1650000 
2019-02-26,석수,MF3-960,LIGHING LAMP,33,33000 ,1089000 
2019-12-27,석수,MF8-130,C2H2(아세틸렌),21,14000 ,294000 
2019-06-05,석수,MF5-506,접착제,28,20000 ,560000 
2019-02-17,석수,MF1-505,종이컵,34,6000 ,204000 
2019-10-20,석수,MF5-299,PHOTO SENSOR,49,600000 ,29400000 
2019-09-26,석수,MF8-551,강관조관유,43,330000 ,14190000 
2019-06-22,석수,MF7-081,DIAL GAUGE,46,130000 ,5980000 
2019-10-03,석수,MF2-800,철사,30,20000 ,600000 
2019-06-12,석수,MF9-620,GRIND STONE,23,240000 ,5520000 
2019-09-16,석수,MF1-180,MOLD SPRING,22,30000 ,660000 
2019-09-29,석수,MF1-328,파일/바인더류,48,2500 ,120000 
2019-08-29,석수,MF6-638,커터기,47,7000 ,329000 
2019-03-15,석수,MF1-320,작업복B,25,33000 ,825000 
2019-03-20,석수,MF6-725,MICRO METER,17,120000 ,2040000 
2019-06-16,석수,MF2-659,종이컵,46,6000 ,276000 
2019-10-23,석수,MF6-678,지류,50,15000 ,750000 
2019-07-19,석수,MF3-535,청소용구A,11,13000 ,143000 
2019-09-01,석수,MF4-145,철직자,28,1000 ,28000 
2019-05-24,석수,MF9-029,PHOTO SENSOR,30,600000 ,18000000 
2019-05-19,석수,MF9-653,비닐,15,15500 ,232500 
2019-02-23,석수,MF7-555,S45C(봉),5,45000 ,225000 
2019-07-15,석수,MF2-377,LM BEARING,11,24000 ,264000 
2019-06-22,석수,MF7-395,GUIDE BUSHING,2,25000 ,50000 
2019-06-08,석수,MF1-560,안전장비B,47,25000 ,1175000 
2019-10-17,석수,MF3-994,철물,42,7000 ,294000 
2019-03-16,석수,MF5-510,줄자,18,5000 ,90000 
2019-03-13,석수,MF6-199,불화카리,34,83000 ,2822000 
2019-06-08,석수,MF6-099,ONE-TOUCH FITTING,40,59000 ,2360000 
2019-07-07,석수,MF7-641,목재,4,6700 ,26800 
2019-03-10,석수,MF3-308,건전지,22,2400 ,52800 
2019-10-28,석수,MF2-524,불화카리,18,83000 ,1494000 
2019-11-18,석수,MF1-753,Pipe,24,530000 ,12720000 
2019-04-25,석수,MF6-590,PUSH BUTTON S/W,21,15000 ,315000 
2019-02-25,석수,MF7-215,작업용장갑,49,4000 ,196000 
2019-11-09,석수,MF8-384,브레이크액,30,50000 ,1500000 
2019-08-18,석수,MF7-211,작업복B,34,33000 ,1122000 
2019-04-10,석수,MF3-449,안전장비E,11,50000 ,550000 
2019-08-27,석수,MF6-872,탄화수소세척액,31,33000 ,1023000 
2019-11-15,석수,MF5-544,AIR CYLINDER,41,56000 ,2296000 
2019-01-13,석수,MF9-629,AL TAPE,38,15000 ,570000 
2019-09-20,석수,MF3-496,전산용품,3,55000 ,165000 
2019-09-30,석수,MF6-516,AL TAPE,39,15000 ,585000 
2019-07-03,석수,MF4-078,O-RING,34,46000 ,1564000 
2019-07-14,석수,MF9-492,LPG가스,4,210000 ,840000 
2019-08-02,석수,MF6-628,LIMIT SWITCH,33,74000 ,2442000 
2019-04-02,석수,MF9-233,화장지,16,4700 ,75200 
2019-02-28,석수,MF8-118,기체질소,29,6800 ,197200 
2019-12-09,석수,MF7-889,안전장비C,39,30000 ,1170000 
2019-05-17,석수,MF5-639,작업복A,40,45000 ,1800000 
2019-10-08,석수,MF7-736,붓,35,3000 ,105000 
2019-09-14,석수,MF7-598,면장갑(10set),13,8000 ,104000 
2019-07-16,석수,MF7-725,청소용구A,8,13000 ,104000 
2019-12-02,석수,MF1-005,등산마스크,16,4000 ,64000 
2019-02-22,석수,MF2-148,작업용장갑,24,4000 ,96000 
2019-08-01,석수,MF3-778,S45C(봉),40,45000 ,1800000 
2019-05-12,석수,MF6-540,액체질소,34,2000 ,68000 
2019-12-02,석수,MF3-165,AIR COUPLER,32,30000 ,960000 
2019-06-02,석수,MF8-294,DRAWING OIL,46,67000 ,3082000 
2019-06-23,석수,MF5-490,Pipe,6,530000 ,3180000 
2019-07-15,석수,MF8-857,AIR BOX,36,220000 ,7920000 
2019-05-04,석수,MF1-516,전선(동력선),44,9500 ,418000 
2019-09-28,석수,MF9-268,PLASTIC BOX,20,20000 ,400000 
2019-02-07,석수,MF9-706,LPG가스,5,210000 ,1050000 
2019-03-26,석수,MF3-509,LIMIT SWITCH,24,74000 ,1776000 
2019-01-16,석수,MF3-651,MOLD SPRING,47,30000 ,1410000 
2019-09-15,석수,MF4-822,ELECTRIC TOOL,38,16000 ,608000 
2019-03-15,석수,MF6-045,PACKING PARTS,33,260000 ,8580000 
2019-03-27,석수,MF7-383,AIR CYLIDER 부품,25,45000 ,1125000 
2019-01-12,석수,MF1-608,PRESS 타발유,1,5700000 ,5700000 
2019-10-07,석수,MF7-280,절연판,19,45000 ,855000 
2019-05-18,석수,MF7-335,C2H2(아세틸렌),3,14000 ,42000 
2019-03-24,석수,MF7-075,전산용품,23,55000 ,1265000 
2019-02-14,석수,MF9-993,액체질소,24,2000 ,48000 
2019-11-19,석수,MF5-471,오일주입기,31,33000 ,1023000 
2019-12-04,석수,MF3-158,HISS PIN,16,97000 ,1552000 
2019-08-12,석수,MF2-013,S45C(판재),50,200000 ,10000000 
2019-01-04,석수,MF6-258,면장갑,43,800 ,34400 
2019-09-28,석수,MF4-151,작업복B,14,33000 ,462000 
2019-04-05,석수,MF1-229,액체알곤,41,9000 ,369000 
2019-10-01,석수,MF7-458,MAGNET SWITCH,1,890000 ,890000 
2019-01-09,석수,MF6-503,안전장비C,23,30000 ,690000 
2019-11-07,석수,MF9-434,GRIND STONE,3,240000 ,720000 
2019-01-26,석수,MF3-542,강관조관유,21,330000 ,6930000 
2019-01-06,석수,MF9-527,방진마스크,44,7000 ,308000 
2019-01-12,석수,MF1-128,PLUG,24,3000 ,72000 
2019-03-25,석수,MF7-521,철사,14,20000 ,280000 
2019-08-05,석수,MF1-738,BRACKER SWITCH,43,10000 ,430000 
2019-10-27,석수,MF9-846,액체질소,34,2000 ,68000 
2019-05-30,석수,MF4-088,안전장비B,5,25000 ,125000 
2019-08-10,석수,MF9-796,강관방청유(외측),1,860000 ,860000 
2019-06-13,석수,MF8-163,소모품,30,2200 ,66000 
2019-02-11,석수,MF8-802,스치로폴,26,30000 ,780000 
2019-05-07,석수,MF1-767,수용성세척액,4,30000 ,120000 
2019-04-07,석수,MF4-356,알코올,2,8000 ,16000 
2019-05-28,석수,MF8-705,면장갑(10set),8,8000 ,64000 
2019-01-08,석수,MF8-027,건전지,39,2400 ,93600 
2019-12-19,석수,MF4-282,마크펜,22,3000 ,66000 
2019-12-07,석수,MF8-556,POWER SUPPLY,3,60000 ,180000 
2019-03-26,석수,MF2-744,드라이바,7,8000 ,56000 
2019-01-05,석수,MF5-362,작업복B,1,33000 ,33000 
2019-09-28,석수,MF7-218,INSULATION TAPE,40,27000 ,1080000 
2019-08-28,석수,MF5-936,청소용구,22,8000 ,176000 
2019-11-30,석수,MF7-165,청소용구A,17,13000 ,221000 
2019-07-04,석수,MF9-589,INSERT TIP,22,30000 ,660000 
2019-07-27,석수,MF9-593,ELECTRIC TOOL,41,16000 ,656000 
2019-08-10,석수,MF2-470,S45C봉,6,70000 ,420000 
2019-08-17,석수,MF6-215,DIAL GAUGE,42,130000 ,5460000 
2019-01-26,석수,MF3-629,붕산,10,7000 ,70000 
2019-01-23,석수,MF3-735,P/Z O-RING,4,38000 ,152000 
2019-01-24,석수,MF2-578,가공유,39,500000 ,19500000 
2019-01-29,석수,MF9-739,HYDRAULIC HOSE,3,27000 ,81000 
2019-12-29,석수,MF2-533,작업복,5,1300000 ,6500000 
2019-08-10,석수,MF8-033,커터기,24,7000 ,168000 
2019-03-01,석수,MF1-538,붓,15,3000 ,45000 
2019-07-23,석수,MF3-001,일반사무용품류,47,2100 ,98700 
2019-03-19,석수,MF7-849,AIR MODULAR UNIT,10,78000 ,780000 
2019-07-17,석수,MF6-050,BALL RETAINERS,5,34000 ,170000 
2019-11-16,석수,MF8-466,PAPER,16,39000 ,624000 
2019-05-30,석수,MF8-554,작업복B,14,33000 ,462000 
2019-12-01,석수,MF7-048,ANGLE,24,32000 ,768000 
2019-01-25,석수,MF5-776,MOTOR,1,30000 ,30000 
2019-05-13,석수,MF9-123,DOWEL PIN,41,430000 ,17630000 
2019-02-25,석수,MF1-014,철물,22,7000 ,154000 
2019-12-24,석수,MF3-035,O-RING,36,46000 ,1656000 
2019-04-21,석수,MF7-035,AIR CYLINDER,41,56000 ,2296000 
2019-11-18,석수,MF4-793,안전장비D,16,21000 ,336000 
2019-04-27,석수,MF5-736,DOWEL PIN,34,430000 ,14620000 
2019-02-14,석수,MF7-604,강관조관유,50,330000 ,16500000 
2019-08-13,석수,MF4-416,LIFTER PIN SET,15,180000 ,2700000 
2019-08-11,석수,MF1-757,액체알곤,8,9000 ,72000 
2019-01-16,석수,MF2-892,기체질소,19,6800 ,129200 
2019-03-14,석수,MF7-776,MOTOR,15,30000 ,450000 
2019-01-19,석수,MF9-881,MAGNET SWITCH,29,890000 ,25810000 
2019-10-30,석수,MF5-083,건전지,17,2400 ,40800 
2019-01-02,석수,MF7-982,안전장비B,42,25000 ,1050000 
2019-04-02,석수,MF5-526,PLASTIC BOX,5,20000 ,100000 
2019-12-23,석수,MF9-104,COUNTER DRILL,18,170000 ,3060000 
2019-05-01,석수,MF9-468,DRILL,15,15000 ,225000 
2019-11-08,석수,MF1-635,PHOTO SENSOR,47,600000 ,28200000 
2019-10-02,석수,MF6-918,BALL VALVE,9,25000 ,225000 
2019-07-12,석수,MF9-988,GRIND STONE,20,240000 ,4800000 
2019-05-07,석수,MF3-187,종이컵,17,6000 ,102000 
2019-12-04,석수,MF2-871,비닐,19,15500 ,294500 
2019-08-16,석수,MF7-124,백관,33,56000 ,1848000 
2019-11-12,석수,MF1-780,청소용구B,47,22000 ,1034000 
2019-01-24,석수,MF4-615,안전장비D,41,21000 ,861000 
2019-04-18,석수,MF4-670,S45C(봉),37,45000 ,1665000 
2019-05-29,석수,MF5-936,안전장비B,14,25000 ,350000 
2019-11-16,석수,MF8-938,청소용구E,2,52000 ,104000 
2019-11-29,석수,MF8-068,강관방청유(내측),23,540000 ,12420000 
2019-11-13,석수,MF6-388,안전장비D,26,21000 ,546000 
2019-04-07,석수,MF5-291,PLASTIC BOX,50,20000 ,1000000 
2019-02-28,석수,MF4-668,GUIDE PIN,25,35000 ,875000 
2019-11-10,석수,MF2-343,END MILL,50,170000 ,8500000 
2019-06-27,석수,MF6-313,지류,33,15000 ,495000 
2019-04-16,석수,MF9-151,FUSE,16,2000 ,32000 
2019-03-11,석수,MF1-504,인쇄물,28,4700 ,131600 
2019-10-22,석수,MF2-740,BALL RETAINERS,31,34000 ,1054000 
2019-10-03,석수,MF4-652,커터기,35,7000 ,245000 
2019-11-01,석수,MF6-977,PAPER,43,39000 ,1677000 
2019-08-22,석수,MF7-685,철물,19,7000 ,133000 
2019-02-02,석수,MF9-825,AIR CYLIDER 부품,29,45000 ,1305000 
2019-09-29,석수,MF5-845,알코올,41,8000 ,328000 
2019-10-28,석수,MF8-844,전산용품,29,55000 ,1595000 
2019-05-15,석수,MF5-955,불화카리,12,83000 ,996000 
2019-04-30,석수,MF2-625,ELECTRIC TOOL,22,16000 ,352000 
2019-09-20,석수,MF4-038,NUT,14,15000 ,210000 
2019-03-01,석수,MF5-042,Pipe,25,530000 ,13250000 
2019-11-18,석수,MF7-130,BITE,12,86000 ,1032000 
2019-03-02,석수,MF4-310,전산용품,29,55000 ,1595000 
2019-02-13,석수,MF3-313,END MILL,37,170000 ,6290000 
2019-10-05,석수,MF1-556,줄자,21,5000 ,105000 
2019-11-02,석수,MF6-750,일반사무용품류,10,2100 ,21000 
2019-06-18,석수,MF3-702,각관,40,230000 ,9200000 
2019-02-02,석수,MF1-690,강관조관유,14,330000 ,4620000 
2019-02-10,석수,MF6-277,철물,11,7000 ,77000 
2019-05-02,석수,MF4-090,면장갑,45,800 ,36000 
2019-03-09,석수,MF2-839,COUNTER DRILL,24,170000 ,4080000 
2019-07-13,석수,MF4-288,철사,28,20000 ,560000 
2019-12-28,석수,MF6-780,RECEPTACLE,34,10000 ,340000 
2019-04-14,석수,MF7-409,소모품,47,2200 ,103400 
2019-05-20,석수,MF8-783,PILOT PUNCH,15,380000 ,5700000 
2019-01-29,석수,MF4-914,경유,19,80000 ,1520000 
2019-08-01,석수,MF8-429,AIR CYLINDER,16,56000 ,896000 
2019-03-18,석수,MF3-998,BEARING,34,75000 ,2550000 
2019-02-04,석수,MF8-720,AL TAPE,32,15000 ,480000 
2019-01-21,석수,MF7-366,화장지,42,4700 ,197400 
2019-03-29,석수,MF5-241,O-RING,35,46000 ,1610000 
2019-12-03,석수,MF2-284,면장갑(10set),17,8000 ,136000 
2019-03-26,석수,MF7-466,강관조관유,14,330000 ,4620000 
2019-05-05,석수,MF4-200,BUTTOM DIE,25,42000 ,1050000 
2019-07-29,석수,MF6-162,와샤,37,60000 ,2220000 
2019-10-05,석수,MF5-514,의료품,13,2500000 ,32500000 
2019-04-06,석수,MF9-476,불화카리,13,83000 ,1079000 
2019-02-13,석수,MF7-777,마크펜,49,3000 ,147000 
2019-11-13,석수,MF9-878,일반사무용품류,4,2100 ,8400 
2019-07-13,석수,MF6-586,소모품,1,2200 ,2200 
2019-01-25,천안,MF7-760,청소용구C,20,35000 ,700000 
2019-01-18,천안,MF4-103,DRILL,31,15000 ,465000 
2019-04-27,천안,MF6-205,NUT,39,15000 ,585000 
2019-12-12,천안,MF1-514,DRILL,11,15000 ,165000 
2019-08-03,천안,MF8-705,액체알곤,2,9000 ,18000 
2019-11-03,천안,MF3-964,기체질소,22,6800 ,149600 
2019-12-28,천안,MF5-102,작업용장갑,50,4000 ,200000 
2019-02-17,천안,MF7-850,MOLD SPRING,10,30000 ,300000 
2019-09-12,천안,MF4-548,DRILL,41,15000 ,615000 
2019-09-09,천안,MF6-032,니쁠,35,5000 ,175000 
2019-11-03,천안,MF5-134,BEARING,34,75000 ,2550000 
2019-08-01,천안,MF3-266,의료품,48,2500000 ,120000000 
2019-04-27,천안,MF6-940,지류,6,15000 ,90000 
2019-12-29,천안,MF9-953,BITE,15,86000 ,1290000 
2019-08-07,천안,MF7-047,에어건,11,20000 ,220000 
2019-10-04,천안,MF2-354,LINE TAPE,28,30000 ,840000 
2019-12-28,천안,MF4-364,DRILL,24,15000 ,360000 
2019-04-21,천안,MF8-921,END MILL,3,170000 ,510000 
2019-12-04,천안,MF2-675,탄화수소세척액,36,33000 ,1188000 
2019-05-13,천안,MF1-743,C2H2(아세틸렌),46,14000 ,644000 
2019-02-10,천안,MF2-809,HOLE CUTTER,13,15000 ,195000 
